gktchid,n_persons,n_male,n_female,heterogeneity_male_female
11203801.0,16,8,8,0.0
11203802.0,19,15,4,0.5789473684210527
11203803.0,19,12,7,0.2631578947368421
12305601.0,23,14,9,0.21739130434782608
12305602.0,17,10,7,0.17647058823529413
12305603.0,24,12,12,0.0
12806801.0,13,3,10,-0.5384615384615384
12806802.0,18,9,9,0.0
12806803.0,23,11,12,-0.043478260869565216
12807601.0,13,6,7,-0.07692307692307693
12807602.0,23,12,11,0.043478260869565216
12807603.0,24,17,7,0.4166666666666667
12807901.0,24,12,12,0.0
12807902.0,21,9,12,-0.14285714285714285
12807903.0,16,9,7,0.125
13008501.0,20,9,11,-0.1
13008502.0,13,8,5,0.23076923076923078
13008503.0,22,10,12,-0.09090909090909091
13008504.0,17,12,5,0.4117647058823529
15917101.0,27,13,14,-0.037037037037037035
15917102.0,16,7,9,-0.125
15917103.0,24,15,9,0.25
15917104.0,17,11,6,0.29411764705882354
15917105.0,22,12,10,0.09090909090909091
16117601.0,16,8,8,0.0
16117602.0,24,15,9,0.25
16117603.0,24,15,9,0.25
16117604.0,17,12,5,0.4117647058823529
16118301.0,22,9,13,-0.18181818181818182
16118302.0,23,13,10,0.13043478260869565
16118303.0,14,7,7,0.0
16118304.0,21,12,9,0.14285714285714285
16118305.0,23,12,11,0.043478260869565216
16118306.0,14,9,5,0.2857142857142857
16218401.0,20,7,13,-0.3
16218402.0,19,9,10,-0.05263157894736842
16218403.0,12,8,4,0.3333333333333333
16218404.0,12,6,6,0.0
16419801.0,21,10,11,-0.047619047619047616
16419802.0,13,8,5,0.23076923076923078
16419803.0,21,12,9,0.14285714285714285
16519901.0,13,9,4,0.38461538461538464
16519902.0,19,8,11,-0.15789473684210525
16519903.0,22,9,13,-0.18181818181818182
16620301.0,15,9,6,0.2
16620302.0,25,15,10,0.2
16620303.0,21,8,13,-0.23809523809523808
16620304.0,16,7,9,-0.125
16821101.0,24,12,12,0.0
16821102.0,23,13,10,0.13043478260869565
16821103.0,16,10,6,0.25
16821104.0,16,7,9,-0.125
16821105.0,24,10,14,-0.16666666666666666
16821401.0,14,9,5,0.2857142857142857
16821402.0,23,10,13,-0.13043478260869565
16821403.0,22,8,14,-0.2727272727272727
16921901.0,13,5,8,-0.23076923076923078
16921902.0,20,6,14,-0.4
16921903.0,22,8,14,-0.2727272727272727
16922901.0,17,9,8,0.058823529411764705
16922902.0,25,14,11,0.12
16922903.0,22,12,10,0.09090909090909091
16922904.0,24,14,10,0.16666666666666666
16922905.0,16,8,8,0.0
16922906.0,17,9,8,0.058823529411764705
16922907.0,25,15,10,0.2
16923101.0,22,7,15,-0.36363636363636365
16923102.0,15,9,6,0.2
16923103.0,23,11,12,-0.043478260869565216
16928001.0,15,7,8,-0.06666666666666667
16928002.0,21,9,12,-0.14285714285714285
16928003.0,22,13,9,0.18181818181818182
17029501.0,22,8,14,-0.2727272727272727
17029502.0,22,12,10,0.09090909090909091
17029503.0,13,8,5,0.23076923076923078
17029504.0,15,6,9,-0.2
17331201.0,14,5,9,-0.2857142857142857
17331202.0,22,12,10,0.09090909090909091
17331203.0,22,13,9,0.18181818181818182
17632901.0,22,6,16,-0.45454545454545453
17632902.0,12,4,8,-0.3333333333333333
